timestamp,date_value,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
3/12/2003,37692,22.51,23.38,22.49,23.36,23.36,5573100,0,1
3/11/2003,37691,22.75,22.92,22.52,22.78,22.78,4034100,0,1
3/10/2003,37690,22.6,22.96,22.55,22.88,22.88,4406000,0,1
3/7/2003,37687,22.32,23.04,22.26,22.97,22.97,5848400,0,1
3/6/2003,37686,22.32,22.85,22.12,22.69,22.69,5427400,0,1
3/5/2003,37685,22.08,22.62,22.02,22.42,22.42,5160400,0,1
3/4/2003,37684,21.7,22.35,21.36,22.27,22.27,5434300,0,1
3/3/2003,37683,22.15,22.61,21.74,21.81,21.81,4480300,0,1
2/28/2003,37680,21.57,22.02,21.43,22.01,22.01,4687100,0,1
2/27/2003,37679,21.66,21.77,20.25,21.62,21.62,5076300,0,1
2/26/2003,37678,21.63,21.98,21.62,21.64,21.64,4121300,0,1
2/25/2003,37677,21.5,22,21.4,21.88,21.88,5624000,0,1
2/24/2003,37676,21.64,22.18,21.64,21.78,21.78,6936600,0,1
2/21/2003,37673,21.35,21.83,21.04,21.78,21.78,7207800,0,1
2/20/2003,37672,21.19,21.5,21.09,21.36,21.36,4169800,0,1
2/19/2003,37671,21.15,21.25,21.02,21.19,21.19,5470800,0,1
2/18/2003,37670,20.15,21.41,20.15,21.39,21.39,7899900,0,1
2/14/2003,37666,19.99,20.23,19.71,20.06,20.06,6625300,0,1
2/13/2003,37665,20.95,21,19.61,20.06,20.06,11576800,0,1
2/12/2003,37664,20.79,21.2,20.66,21.03,21.03,5433900,0,1
2/11/2003,37663,21.56,21.6,20.69,20.78,20.78,6679000,0,1
2/10/2003,37662,21.4,21.41,20.57,21.4,21.4,8096500,0,1
2/7/2003,37659,22.1,22.11,21.2,21.44,21.44,6942900,0,1
2/6/2003,37658,22.16,22.48,21.93,22.09,22.09,4037700,0,1
2/5/2003,37657,22.18,22.5,22.03,22.17,22.17,5343100,0,1
2/4/2003,37656,21.94,22.14,21.57,22.05,22.05,4817600,0,1
2/3/2003,37655,21.94,22.44,21.82,22.16,22.16,5195500,0,1
1/31/2003,37652,21.64,22.27,21.56,21.85,21.85,6262500,0,1
1/30/2003,37651,22.2,22.4,21.74,21.82,21.82,5965700,0,1
1/29/2003,37650,21.91,21.97,21.23,21.62,21.62,7056900,0,1
1/28/2003,37649,21.91,21.97,21.23,21.62,21.62,7968400,0,1
1/27/2003,37648,21.68,22.37,21.64,21.78,21.78,8207000,0,1
1/24/2003,37645,22.59,23.29,21.9,22.11,22.11,21681800,0,1
1/23/2003,37644,21.54,22.04,21.15,21.79,21.79,10998000,0,1
1/22/2003,37643,20.77,21.7,20.75,21.17,21.17,6683600,0,1
1/21/2003,37642,21.25,21.61,20.36,21.08,21.08,6293100,0,1
1/17/2003,37638,21.46,21.71,21.23,21.4,21.4,5786200,0,1
1/16/2003,37637,21.69,22.1,21.45,21.8,21.8,7911600,0,1
1/15/2003,37636,22.59,22.61,21.94,22.27,22.27,6989400,0,1
1/14/2003,37635,21.85,22.76,21.66,22.74,22.74,7048800,0,1
1/13/2003,37634,21.33,22.1,21.25,22.04,22.04,7121300,0,1
1/10/2003,37631,20.96,21.67,20.81,21.32,21.32,7579300,0,1
1/9/2003,37630,21.08,21.7,20.9,21.45,21.45,6154800,0,1
1/8/2003,37629,21.44,21.6,20.82,21.02,21.02,6981500,0,1
1/7/2003,37628,20.83,21.75,20.6,21.55,21.55,9568200,0,1
1/6/2003,37627,20.4,21.17,20.3,20.7,20.7,7698100,0,1
1/3/2003,37624,19.59,20.53,19.41,20.52,20.52,8757000,0,1
1/2/2003,37623,19.19,19.68,18.55,19.57,19.57,6484000,0,1
12/31/2002,37621,19.25,19.56,18.83,18.89,18.89,5537000,0,1
12/30/2002,37620,18.85,19.4,18.74,19.25,19.25,8284700,0,1
12/27/2002,37617,19.97,20.1,18.43,18.86,18.86,21972800,0,1
12/26/2002,37616,21.59,21.6,20,20.3,20.3,14199300,0,1
12/24/2002,37614,22.18,22.28,21.88,21.88,21.88,2348600,0,1
12/23/2002,37613,21.78,22.47,21.78,22.24,22.24,4424500,0,1
12/20/2002,37610,21.79,22.01,21.61,21.8,21.8,4935300,0,1
12/19/2002,37609,21.63,22.2,21.53,21.69,21.69,5814400,0,1
12/18/2002,37608,22.25,22.26,21.98,22.1,22.1,3992800,0,1
12/17/2002,37607,22.33,22.56,22.32,22.46,22.46,3419500,0,1
12/16/2002,37606,22.23,22.53,22.04,22.51,22.51,4940700,0,1
12/13/2002,37603,21.95,22.35,21.87,22.18,22.18,3859200,0,1
12/12/2002,37602,22.47,22.62,21.81,22.24,22.24,5977500,0,1
12/11/2002,37601,21.67,22.38,21.62,22.12,22.12,6387300,0,1
12/10/2002,37600,21.96,21.99,21.24,21.86,21.86,7093700,0,1
12/9/2002,37599,22.23,22.35,21.6,21.68,21.68,7454700,0,1
12/6/2002,37596,21.7,22.69,21.51,22.61,22.61,9393500,0,1
12/5/2002,37595,23.66,23.68,22.2,22.58,22.58,10642600,0,1
12/4/2002,37594,23.48,23.8,22.96,23.39,23.39,7878900,0,1
12/3/2002,37593,23.83,23.98,23.38,23.74,23.74,5901100,0,1
12/2/2002,37592,24.15,25,24,24.11,24.11,11152500,0,1
11/29/2002,37589,24.15,24.38,23.33,23.35,23.35,2577300,0,1
11/27/2002,37587,23.72,24.24,23.71,24.08,24.08,5666000,0,1
11/26/2002,37586,24.02,24.21,23.38,23.4,23.4,6405800,0,1
11/25/2002,37585,24.03,24.5,23.82,24.25,24.25,10091100,0,1
11/22/2002,37582,23.2,24.28,23.1,23.99,23.99,11686600,0,1
11/21/2002,37581,23.33,23.85,23.21,23.4,23.4,11288500,0,1
11/20/2002,37580,21.35,23,21.22,22.9,22.9,13294400,0,1
